name,comment
云中鱼云南蒸汽石锅鱼(五角场店),495
梅亭自助寿喜锅,1243
臻·老龙口涮肉坊(虹井路店),301
君之濠海鲜火锅,42
重庆大队长火锅,87
金胶玉粤·胶原花胶鸡火锅PHOENIX Hotpot&Bar(龙茗路...,451
钱家·乔老爷铜锅涮肉,1479
渝利火锅(开元地中海店),3194
聚城老北京爆肚涮肉坊,143
觅香稻场火锅小酒窝,443
虾启哄·川江湖,80
香港蛟龙过海,470
井格重庆火锅(龙之梦店),4096
酒寻,286
嗨锅(中山公园店),4664
京三爷老北京铜炉涮锅(中信广场店),2880
丽江印象斑鱼府(七宝宝龙店),1286
四川香天下火锅(吴中路店),3058
捞王锅物料理(金鼎路店),2431
德荣老北京铜锅(物华路店),505
潮牛海记(上海通北路店),4580
皇城根(华宁弘基生活中心店),4410
邂逅丽江·鲜货斑鱼府(松江店),512
潮家牛肉火锅(广灵二路店),2358
313羊庄(宝山万达店),34
巴四老城区炭火蛙锅(大悦城店),1612
罗记火锅(卢湾店),100
壹条锅私房料理(华山花苑店),490
谭记斑鱼庄(东鼎购物中心店),279
辣椒星球串串集合店ChiliChili,1459
大渝火锅(七宝万科店),767
鼎尊锅物料理(五角场店),1520
钢管厂五区小郡肝串串香火锅(南京西路店),504
大渝火锅(五角场万达店),4392
明成缘 帕帕呀(塔城路店),1446
辣府(打浦店),8777
老门框爆肚涮肉(四川北路店),126
重庆镇三关火锅(中海环宇荟店),849
红料理|串串有瘾(梅川店),2283
粮好山黄牛火锅,306
云中鱼云南蒸汽石锅鱼(浦东食品城店),1272
煲宫(龙阳广场店),7375
颐品居热气羊肉馆(乌鲁木齐中路店),2521
青花椒砂锅鱼(长寿路店),4539
重庆高老九火锅(嘉定华润万家店),2598
东来顺(外滩店),4515
蒸嗨啦蒸汽海鲜主题餐厅(浦江城市生活广场店),619
新一哥港式精品火锅(瑞金店),255
宽城子成都市井火锅(宝山路店),2027
小辉哥火锅(世博源店),7832
杨府霸道私房火锅,798
耍串·川味小食研究所(保利时光里店),790
哈尼石锅鱼(近铁城市广场店),455
百素我家酸菜鱼(长宁龙之梦店),4494
红料理|串串有瘾(复旦店),626
老城区炭火蛙锅(疁城新天地店),123
巴顿火锅(泗泾店),1980
三人行骨头王火锅(日月光中心店),539
魔焰美蛙鱼头(龙湖北城天街店),1074
战炉老城区炭火蛙锅,264
小辉哥火锅(龙之梦购物中心虹口店),8015
四川香天下火锅(淮海中路店),10884
古炉火锅·老成都(七宝宝龙店),1838
巴愚人码头文化火锅,276
辣疯乐美蛙鱼头火锅,590
北京五爷涮羊肉(田尚坊商业中心店),3396
牛华八婆火锅串串(玫瑰坊总店),347
麻十七重庆老麻火锅(龙盛国际商业广场店),3319
德荣老北京铜锅(营口路店),724
唐府养生锅物料理(三林店),431
三人行骨头王火锅(徐汇总店),27295
